"filename", "language", "JSON", "mcfunction", "comment", "blank", "total"
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\combination-lock\eval.mcfunction", "mcfunction", 0, 8, 3, 1, 12
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\combination-lock\load-num.mcfunction", "mcfunction", 0, 20, 5, 4, 29
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\combination-lock\open-door.mcfunction", "mcfunction", 0, 1, 2, 0, 3
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\combination-lock\render.mcfunction", "mcfunction", 0, 40, 2, 4, 46
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\combination-lock\reset.mcfunction", "mcfunction", 0, 5, 2, 1, 8
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\combination-lock\sys.mcfunction", "mcfunction", 0, 13, 9, 5, 27
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\elevator.mcfunction", "mcfunction", 0, 21, 3, 1, 25
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\emergency-exit.mcfunction", "mcfunction", 0, 26, 4, 2, 32
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\float-arrows\pick-up.mcfunction", "mcfunction", 0, 8, 3, 3, 14
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\float-arrows\sys.mcfunction", "mcfunction", 0, 5, 2, 2, 9
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\guards\armor-stand.mcfunction", "mcfunction", 0, 1, 2, 1, 4
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\guards\reset-room.mcfunction", "mcfunction", 0, 32, 1, 1, 34
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\guards\sys.mcfunction", "mcfunction", 0, 38, 9, 4, 51
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\keycard.mcfunction", "mcfunction", 0, 3, 2, 1, 6
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\power-source\enable.mcfunction", "mcfunction", 0, 1, 2, 0, 3
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\power-source\spin.mcfunction", "mcfunction", 0, 22, 9, 8, 39
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\power-source\sys.mcfunction", "mcfunction", 0, 14, 3, 2, 19
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\sequence-lock\press.mcfunction", "mcfunction", 0, 51, 6, 7, 64
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\sequence-lock\reset.mcfunction", "mcfunction", 0, 16, 9, 6, 31
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\sequence-lock\sys.mcfunction", "mcfunction", 0, 2, 3, 2, 7
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\disable.mcfunction", "mcfunction", 0, 39, 2, 1, 42
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\enable.mcfunction", "mcfunction", 0, 38, 1, 1, 40
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\force-setup.mcfunction", "mcfunction", 0, 20, 5, 4, 29
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\10.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\11.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\12.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\13.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\14.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\15.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\16.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\17.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\18.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\19.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\20.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\5.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\6.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\7.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\8.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\9.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\off.mcfunction", "mcfunction", 0, 10, 4, 0, 14
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\on.mcfunction", "mcfunction", 0, 11, 4, 0, 15
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\setup.mcfunction", "mcfunction", 0, 17, 1, 2, 20
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\sys.mcfunction", "mcfunction", 0, 40, 5, 3, 48
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\tnt\clear-levitation.mcfunction", "mcfunction", 0, 2, 2, 1, 5
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\tnt\explode.mcfunction", "mcfunction", 0, 19, 12, 1, 32
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\tnt\spawn-guards.mcfunction", "mcfunction", 0, 3, 1, 1, 5
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\tnt\sys.mcfunction", "mcfunction", 0, 7, 5, 3, 15
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\trap.mcfunction", "mcfunction", 0, 13, 3, 2, 18
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\trapdoor.mcfunction", "mcfunction", 0, 7, 1, 1, 9
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\water-dispenser\press.mcfunction", "mcfunction", 0, 12, 5, 6, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\water-dispenser\sys.mcfunction", "mcfunction", 0, 2, 6, 3, 11
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\water-dispenser\unpress.mcfunction", "mcfunction", 0, 4, 2, 1, 7
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\music\decommissioned-slowing.mcfunction", "mcfunction", 0, 2, 1, 1, 4
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\music\decommissioned-speeding.mcfunction", "mcfunction", 0, 2, 1, 1, 4
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\music\music.mcfunction", "mcfunction", 0, 27, 8, 4, 39
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\resume.mcfunction", "mcfunction", 0, 20, 2, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\settings.mcfunction", "mcfunction", 0, 32, 13, 12, 57
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\start.mcfunction", "mcfunction", 0, 17, 9, 2, 28
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\start\click-creator.mcfunction", "mcfunction", 0, 2, 2, 1, 5
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\start\click-info.mcfunction", "mcfunction", 0, 2, 1, 1, 4
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\start\click-start.mcfunction", "mcfunction", 0, 2, 1, 1, 4
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\start\start-area.mcfunction", "mcfunction", 0, 12, 5, 3, 20
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\armor.mcfunction", "mcfunction", 0, 9, 2, 2, 13
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\center.mcfunction", "mcfunction", 0, 10, 6, 4, 20
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\corridor-1\corridor-1-guards.mcfunction", "mcfunction", 0, 20, 11, 2, 33
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\corridor-2\corridor-2-guards.mcfunction", "mcfunction", 0, 15, 8, 2, 25
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\corridor-2\move-forward.mcfunction", "mcfunction", 0, 3, 3, 1, 7
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\corridor-3\corridor-3-guards.mcfunction", "mcfunction", 0, 8, 4, 1, 13
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\guard-movement.mcfunction", "mcfunction", 0, 52, 19, 7, 78
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\guards.mcfunction", "mcfunction", 0, 17, 9, 4, 30
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\hall\boss.mcfunction", "mcfunction", 0, 7, 1, 1, 9
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\hall\hall-guards.mcfunction", "mcfunction", 0, 19, 9, 1, 29
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\misc.mcfunction", "mcfunction", 0, 4, 2, 1, 7
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\quartz\elevator.mcfunction", "mcfunction", 0, 20, 12, 2, 34
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\quartz\end.mcfunction", "mcfunction", 0, 15, 8, 7, 30
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\quartz\guard-blocking.mcfunction", "mcfunction", 0, 114, 2, 1, 117
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\quartz\quartz-guards.mcfunction", "mcfunction", 0, 62, 28, 11, 101
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\shoot-arrow.mcfunction", "mcfunction", 0, 30, 5, 8, 43
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\vents\vent-guards.mcfunction", "mcfunction", 0, 14, 6, 1, 21
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\exit.mcfunction", "mcfunction", 0, 3, 2, 1, 6
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\audience-noise.mcfunction", "mcfunction", 0, 2, 1, 1, 4
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\interview.mcfunction", "mcfunction", 0, 48, 12, 2, 62
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\merge.mcfunction", "mcfunction", 0, 4, 3, 1, 8
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\pickup-base.mcfunction", "mcfunction", 0, 7, 4, 1, 12
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\pickup-chip.mcfunction", "mcfunction", 0, 4, 3, 1, 8
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\place-merged.mcfunction", "mcfunction", 0, 7, 5, 1, 13
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\presentation.mcfunction", "mcfunction", 0, 57, 2, 2, 61
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\work.mcfunction", "mcfunction", 0, 114, 24, 19, 157
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\tick.mcfunction", "mcfunction", 0, 33, 4, 3, 40
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\timer.mcfunction", "mcfunction", 0, 8, 4, 2, 14
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\item_modifiers\time-warper\disabled.json", "JSON", 14, 0, 0, 1, 15
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\item_modifiers\time-warper\off.json", "JSON", 14, 0, 0, 1, 15
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\item_modifiers\time-warper\on.json", "JSON", 14, 0, 0, 1, 15
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\loot_tables\player-head.json", "JSON", 19, 0, 0, 1, 20
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\corridor-1-shoot.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\corridor-2.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\corridor-3.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\guard-room.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\hall-shoot.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\music\decommissioned.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\music\prechase.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\pit-1.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\pit-2.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\quartz-4.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\time-warper-chase.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\time-warper-decommissioned.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\tnt-1-zone.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\tnt-wall.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\underground.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\vent-exit.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\vent-guards.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\pack.mcmeta", "JSON", 18, 0, 0, 1, 19
"Total", "-", 459, 1945, 482, 280, 3166
