Date : 2024-03-22 21:48:34
Directory : c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc
Total : 125 files,  2404 codes, 482 comments, 280 blanks, all 3166 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\15.mcfunction          | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\16.mcfunction          | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\17.mcfunction          | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\18.mcfunction          | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\19.mcfunction          | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\20.mcfunction          | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\5.mcfunction           | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\6.mcfunction           | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\7.mcfunction           | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\8.mcfunction           | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\9.mcfunction           | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\off.mcfunction                | mcfunction |         10 |          4 |          0 |         14 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\on.mcfunction                 | mcfunction |         11 |          4 |          0 |         15 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\setup.mcfunction              | mcfunction |         17 |          1 |          2 |         20 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\sys.mcfunction                | mcfunction |         40 |          5 |          3 |         48 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\tnt\clear-levitation.mcfunction           | mcfunction |          2 |          2 |          1 |          5 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\tnt\explode.mcfunction                    | mcfunction |         19 |         12 |          1 |         32 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\tnt\spawn-guards.mcfunction               | mcfunction |          3 |          1 |          1 |          5 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\tnt\sys.mcfunction                        | mcfunction |          7 |          5 |          3 |         15 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\trap.mcfunction                           | mcfunction |         13 |          3 |          2 |         18 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\trapdoor.mcfunction                       | mcfunction |          7 |          1 |          1 |          9 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\water-dispenser\press.mcfunction          | mcfunction |         12 |          5 |          6 |         23 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\water-dispenser\sys.mcfunction            | mcfunction |          2 |          6 |          3 |         11 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\water-dispenser\unpress.mcfunction        | mcfunction |          4 |          2 |          1 |          7 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\music\decommissioned-slowing.mcfunction             | mcfunction |          2 |          1 |          1 |          4 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\music\decommissioned-speeding.mcfunction            | mcfunction |          2 |          1 |          1 |          4 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\music\music.mcfunction                              | mcfunction |         27 |          8 |          4 |         39 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\resume.mcfunction                                   | mcfunction |         20 |          2 |          1 |         23 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\settings.mcfunction                                 | mcfunction |         32 |         13 |         12 |         57 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\start.mcfunction                                    | mcfunction |         17 |          9 |          2 |         28 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\start\click-creator.mcfunction                      | mcfunction |          2 |          2 |          1 |          5 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\start\click-info.mcfunction                         | mcfunction |          2 |          1 |          1 |          4 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\start\click-start.mcfunction                        | mcfunction |          2 |          1 |          1 |          4 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\start\start-area.mcfunction                         | mcfunction |         12 |          5 |          3 |         20 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\armor.mcfunction                              | mcfunction |          9 |          2 |          2 |         13 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\center.mcfunction                       | mcfunction |         10 |          6 |          4 |         20 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\corridor-1\corridor-1-guards.mcfunction | mcfunction |         20 |         11 |          2 |         33 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\corridor-2\corridor-2-guards.mcfunction | mcfunction |         15 |          8 |          2 |         25 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\corridor-2\move-forward.mcfunction      | mcfunction |          3 |          3 |          1 |          7 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\corridor-3\corridor-3-guards.mcfunction | mcfunction |          8 |          4 |          1 |         13 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\guard-movement.mcfunction               | mcfunction |         52 |         19 |          7 |         78 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\guards.mcfunction                       | mcfunction |         17 |          9 |          4 |         30 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\hall\boss.mcfunction                    | mcfunction |          7 |          1 |          1 |          9 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\hall\hall-guards.mcfunction             | mcfunction |         19 |          9 |          1 |         29 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\misc.mcfunction                         | mcfunction |          4 |          2 |          1 |          7 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\quartz\elevator.mcfunction              | mcfunction |         20 |         12 |          2 |         34 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\quartz\end.mcfunction                   | mcfunction |         15 |          8 |          7 |         30 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\quartz\guard-blocking.mcfunction        | mcfunction |        114 |          2 |          1 |        117 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\quartz\quartz-guards.mcfunction         | mcfunction |         62 |         28 |         11 |        101 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\shoot-arrow.mcfunction                  | mcfunction |         30 |          5 |          8 |         43 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\chase\vents\vent-guards.mcfunction            | mcfunction |         14 |          6 |          1 |         21 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\exit.mcfunction                               | mcfunction |          3 |          2 |          1 |          6 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\audience-noise.mcfunction               | mcfunction |          2 |          1 |          1 |          4 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\interview.mcfunction                    | mcfunction |         48 |         12 |          2 |         62 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\merge.mcfunction                        | mcfunction |          4 |          3 |          1 |          8 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\pickup-base.mcfunction                  | mcfunction |          7 |          4 |          1 |         12 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\pickup-chip.mcfunction                  | mcfunction |          4 |          3 |          1 |          8 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\place-merged.mcfunction                 | mcfunction |          7 |          5 |          1 |         13 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\presentation.mcfunction                 | mcfunction |         57 |          2 |          2 |         61 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\story\intro\work.mcfunction                         | mcfunction |        114 |         24 |         19 |        157 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\tick.mcfunction                                     | mcfunction |         33 |          4 |          3 |         40 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\timer.mcfunction                                    | mcfunction |          8 |          4 |          2 |         14 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\item_modifiers\time-warper\disabled.json                      | JSON       |         14 |          0 |          1 |         15 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\item_modifiers\time-warper\off.json                           | JSON       |         14 |          0 |          1 |         15 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\item_modifiers\time-warper\on.json                            | JSON       |         14 |          0 |          1 |         15 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\loot_tables\player-head.json                                  | JSON       |         19 |          0 |          1 |         20 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\corridor-1-shoot.json                              | JSON       |         22 |          0 |          1 |         23 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\corridor-2.json                                    | JSON       |         22 |          0 |          1 |         23 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\corridor-3.json                                    | JSON       |         22 |          0 |          1 |         23 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\guard-room.json                                    | JSON       |         22 |          0 |          1 |         23 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\hall-shoot.json                                    | JSON       |         22 |          0 |          1 |         23 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\music\decommissioned.json                          | JSON       |         22 |          0 |          1 |         23 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\music\prechase.json                                | JSON       |         22 |          0 |          1 |         23 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\predicates\pit-1.json                                         | JSON       |         22 |          0 |          1 |         23 |
